val InitialState =
[
{loc=0, blk=1},
{loc=1, blk=2},
{loc=2, blk=2},
{loc=3, blk=2},
{loc=4, blk=2},
{loc=5, blk=2},
{loc=6, blk=2},
{loc=7, blk=2},
{loc=8, blk=2},
{loc=9, blk=3},
{loc=10, blk=4},
{loc=11, blk=4},
{loc=12, blk=4},
{loc=20, blk=5},
{loc=21, blk=5},
{loc=22, blk=5},
{loc=30, blk=6},
{loc=31, blk=6},
{loc=32, blk=6},
{loc=40, blk=7},
{loc=41, blk=7},
{loc=42, blk=7},
{loc=50, blk=100},
{loc=51, blk=100},
{loc=52, blk=100},
{loc=13, blk=8},
{loc=14, blk=8},
{loc=15, blk=8},
{loc=23, blk=9},
{loc=24, blk=9},
{loc=25, blk=9},
{loc=33, blk=10},
{loc=43, blk=10},
{loc=35, blk=12},
{loc=45, blk=12},
{loc=55, blk=12},
{loc=61, blk=13},
{loc=62, blk=13},
{loc=63, blk=13},
{loc=64, blk=13},
{loc=65, blk=13},
{loc=17, blk=16},
{loc=27, blk=16},
{loc=37, blk=16},
{loc=47, blk=17},
{loc=57, blk=17},
{loc=67, blk=17},
{loc=94, blk=18},
{loc=95, blk=18},
{loc=96, blk=18},
{loc=97, blk=18},
{loc=60, blk=19},
{loc=70, blk=19},
{loc=80, blk=19},
{loc=90, blk=19},
]
/
Exit Section = [loc=59]
.
